L,gm/Id,Vds_sat
4.5e-07,3.57004,0.464118
4.5e-07,3.57657,0.463384
4.5e-07,3.58313,0.462649
4.5e-07,3.5897,0.461914
4.5e-07,3.5963,0.461179
4.5e-07,3.60292,0.460444
4.5e-07,3.60956,0.45971
4.5e-07,3.61622,0.458975
4.5e-07,3.62291,0.45824
4.5e-07,3.62961,0.457505
4.5e-07,3.63634,0.45677
4.5e-07,3.64309,0.456035
4.5e-07,3.64986,0.4553
4.5e-07,3.65666,0.454565
4.5e-07,3.66348,0.45383
4.5e-07,3.67032,0.453095
4.5e-07,3.67718,0.45236
4.5e-07,3.68407,0.451625
4.5e-07,3.69098,0.45089
4.5e-07,3.69791,0.450154
4.5e-07,3.70487,0.449419
4.5e-07,3.71185,0.448684
4.5e-07,3.71885,0.447949
4.5e-07,3.72588,0.447214
4.5e-07,3.73293,0.446478
4.5e-07,3.74,0.445743
4.5e-07,3.7471,0.445008
4.5e-07,3.75422,0.444272
4.5e-07,3.76137,0.443537
4.5e-07,3.76854,0.442802
4.5e-07,3.77574,0.442066
4.5e-07,3.78296,0.441331
4.5e-07,3.7902,0.440595
4.5e-07,3.79747,0.43986
4.5e-07,3.80477,0.439124
4.5e-07,3.81209,0.438389
4.5e-07,3.81943,0.437653
4.5e-07,3.8268,0.436918
4.5e-07,3.8342,0.436182
4.5e-07,3.84162,0.435446
4.5e-07,3.84907,0.434711
4.5e-07,3.85654,0.433975
4.5e-07,3.86404,0.433239
4.5e-07,3.87157,0.432504
4.5e-07,3.87912,0.431768
4.5e-07,3.8867,0.431032
4.5e-07,3.89431,0.430296
4.5e-07,3.90194,0.42956
4.5e-07,3.9096,0.428825
4.5e-07,3.91728,0.428089
4.5e-07,3.92499,0.427353
4.5e-07,3.93273,0.426617
4.5e-07,3.9405,0.425881
4.5e-07,3.9483,0.425145
4.5e-07,3.95612,0.424409
4.5e-07,3.96397,0.423673
4.5e-07,3.97185,0.422937
4.5e-07,3.97976,0.422201
4.5e-07,3.98769,0.421465
4.5e-07,3.99566,0.420729
4.5e-07,4.00365,0.419993
4.5e-07,4.01167,0.419256
4.5e-07,4.01972,0.41852
4.5e-07,4.0278,0.417784
4.5e-07,4.03591,0.417048
4.5e-07,4.04404,0.416312
4.5e-07,4.05221,0.415575
4.5e-07,4.06041,0.414839
4.5e-07,4.06864,0.414103
4.5e-07,4.07689,0.413366
4.5e-07,4.08518,0.41263
4.5e-07,4.0935,0.411894
4.5e-07,4.10184,0.411157
4.5e-07,4.11022,0.410421
4.5e-07,4.11863,0.409684
4.5e-07,4.12707,0.408948
4.5e-07,4.13554,0.408211
4.5e-07,4.14405,0.407475
4.5e-07,4.15258,0.406738
4.5e-07,4.16115,0.406002
4.5e-07,4.16974,0.405265
4.5e-07,4.17837,0.404529
4.5e-07,4.18704,0.403792
4.5e-07,4.19573,0.403055
4.5e-07,4.20446,0.402319
4.5e-07,4.21322,0.401582
4.5e-07,4.22201,0.400845
4.5e-07,4.23083,0.400109
4.5e-07,4.23969,0.399372
4.5e-07,4.24858,0.398635
4.5e-07,4.25751,0.397898
4.5e-07,4.26647,0.397161
4.5e-07,4.27546,0.396425
4.5e-07,4.28449,0.395688
4.5e-07,4.29355,0.394951
4.5e-07,4.30265,0.394214
4.5e-07,4.31178,0.393477
4.5e-07,4.32095,0.39274
4.5e-07,4.33015,0.392003
4.5e-07,4.33938,0.391266
4.5e-07,4.34866,0.390529
4.5e-07,4.35796,0.389792
4.5e-07,4.36731,0.389055
4.5e-07,4.37669,0.388318
4.5e-07,4.3861,0.387581
4.5e-07,4.39556,0.386844
4.5e-07,4.40504,0.386107
4.5e-07,4.41457,0.38537
4.5e-07,4.42413,0.384633
4.5e-07,4.43373,0.383896
4.5e-07,4.44337,0.383158
4.5e-07,4.45305,0.382421
4.5e-07,4.46276,0.381684
4.5e-07,4.47251,0.380947
4.5e-07,4.4823,0.38021
4.5e-07,4.49213,0.379472
4.5e-07,4.502,0.378735
4.5e-07,4.51191,0.377998
4.5e-07,4.52185,0.37726
4.5e-07,4.53184,0.376523
4.5e-07,4.54186,0.375786
4.5e-07,4.55193,0.375048
4.5e-07,4.56204,0.374311
4.5e-07,4.57218,0.373574
4.5e-07,4.58237,0.372836
4.5e-07,4.59259,0.372099
4.5e-07,4.60286,0.371361
4.5e-07,4.61317,0.370624
4.5e-07,4.62352,0.369886
4.5e-07,4.63391,0.369149
4.5e-07,4.64435,0.368412
4.5e-07,4.65483,0.367674
4.5e-07,4.66535,0.366937
4.5e-07,4.67591,0.366199
4.5e-07,4.68651,0.365462
4.5e-07,4.69716,0.364724
4.5e-07,4.70785,0.363986
4.5e-07,4.71859,0.363249
4.5e-07,4.72937,0.362511
4.5e-07,4.74019,0.361774
4.5e-07,4.75106,0.361036
4.5e-07,4.76197,0.360299
4.5e-07,4.77293,0.359561
4.5e-07,4.78393,0.358823
4.5e-07,4.79498,0.358086
4.5e-07,4.80607,0.357348
4.5e-07,4.81722,0.35661
4.5e-07,4.8284,0.355873
4.5e-07,4.83963,0.355135
4.5e-07,4.85091,0.354397
4.5e-07,4.86224,0.35366
4.5e-07,4.87362,0.352922
4.5e-07,4.88504,0.352184
4.5e-07,4.89651,0.351447
4.5e-07,4.90803,0.350709
4.5e-07,4.91959,0.349971
4.5e-07,4.93121,0.349234
4.5e-07,4.94287,0.348496
4.5e-07,4.95459,0.347758
4.5e-07,4.96635,0.34702
4.5e-07,4.97816,0.346283
4.5e-07,4.99003,0.345545
4.5e-07,5.00194,0.344807
4.5e-07,5.01391,0.344069
4.5e-07,5.02592,0.343332
4.5e-07,5.03799,0.342594
4.5e-07,5.05011,0.341856
4.5e-07,5.06228,0.341119
4.5e-07,5.0745,0.340381
4.5e-07,5.08678,0.339643
4.5e-07,5.09911,0.338905
4.5e-07,5.11149,0.338168
4.5e-07,5.12392,0.33743
4.5e-07,5.13641,0.336692
4.5e-07,5.14896,0.335955
4.5e-07,5.16155,0.335217
4.5e-07,5.17421,0.334479
4.5e-07,5.18691,0.333742
4.5e-07,5.19968,0.333004
4.5e-07,5.2125,0.332266
4.5e-07,5.22537,0.331528
4.5e-07,5.2383,0.330791
4.5e-07,5.25129,0.330053
4.5e-07,5.26434,0.329316
4.5e-07,5.27744,0.328578
4.5e-07,5.2906,0.32784
4.5e-07,5.30382,0.327103
4.5e-07,5.3171,0.326365
4.5e-07,5.33043,0.325628
4.5e-07,5.34383,0.32489
4.5e-07,5.35728,0.324152
4.5e-07,5.37079,0.323415
4.5e-07,5.38437,0.322677
4.5e-07,5.398,0.32194
4.5e-07,5.4117,0.321202
4.5e-07,5.42546,0.320465
4.5e-07,5.43928,0.319727
4.5e-07,5.45316,0.31899
4.5e-07,5.4671,0.318253
4.5e-07,5.48111,0.317515
4.5e-07,5.49517,0.316778
4.5e-07,5.50931,0.316041
4.5e-07,5.5235,0.315303
4.5e-07,5.53776,0.314566
4.5e-07,5.55209,0.313829
4.5e-07,5.56648,0.313091
4.5e-07,5.58093,0.312354
4.5e-07,5.59546,0.311617
4.5e-07,5.61004,0.31088
4.5e-07,5.6247,0.310143
4.5e-07,5.63942,0.309406
4.5e-07,5.65421,0.308669
4.5e-07,5.66906,0.307932
4.5e-07,5.68399,0.307195
4.5e-07,5.69898,0.306458
4.5e-07,5.71404,0.305721
4.5e-07,5.72917,0.304984
4.5e-07,5.74437,0.304247
4.5e-07,5.75964,0.30351
4.5e-07,5.77498,0.302773
4.5e-07,5.79039,0.302037
4.5e-07,5.80588,0.3013
4.5e-07,5.82143,0.300563
4.5e-07,5.83706,0.299827
4.5e-07,5.85276,0.29909
4.5e-07,5.86853,0.298354
4.5e-07,5.88438,0.297617
4.5e-07,5.9003,0.296881
4.5e-07,5.9163,0.296145
4.5e-07,5.93237,0.295408
4.5e-07,5.94851,0.294672
4.5e-07,5.96473,0.293936
4.5e-07,5.98103,0.2932
4.5e-07,5.9974,0.292464
4.5e-07,6.01385,0.291728
4.5e-07,6.03038,0.290992
4.5e-07,6.04699,0.290256
4.5e-07,6.06367,0.28952
4.5e-07,6.08043,0.288784
4.5e-07,6.09727,0.288048
4.5e-07,6.1142,0.287313
4.5e-07,6.1312,0.286577
4.5e-07,6.14828,0.285842
4.5e-07,6.16545,0.285106
4.5e-07,6.18269,0.284371
4.5e-07,6.20002,0.283636
4.5e-07,6.21743,0.2829
4.5e-07,6.23492,0.282165
4.5e-07,6.2525,0.28143
4.5e-07,6.27016,0.280695
4.5e-07,6.2879,0.27996
4.5e-07,6.30573,0.279226
4.5e-07,6.32365,0.278491
4.5e-07,6.34165,0.277756
4.5e-07,6.35974,0.277022
4.5e-07,6.37791,0.276287
4.5e-07,6.39618,0.275553
4.5e-07,6.41452,0.274819
4.5e-07,6.43296,0.274084
4.5e-07,6.45149,0.27335
4.5e-07,6.47011,0.272616
4.5e-07,6.48881,0.271883
4.5e-07,6.50761,0.271149
4.5e-07,6.5265,0.270415
4.5e-07,6.54547,0.269682
4.5e-07,6.56455,0.268948
4.5e-07,6.58371,0.268215
4.5e-07,6.60296,0.267482
4.5e-07,6.62231,0.266749
4.5e-07,6.64176,0.266016
4.5e-07,6.66129,0.265283
4.5e-07,6.68093,0.26455
4.5e-07,6.70065,0.263818
4.5e-07,6.72048,0.263085
4.5e-07,6.7404,0.262353
4.5e-07,6.76042,0.261621
4.5e-07,6.78053,0.260888
4.5e-07,6.80075,0.260157
4.5e-07,6.82106,0.259425
4.5e-07,6.84147,0.258693
4.5e-07,6.86198,0.257962
4.5e-07,6.88259,0.25723
4.5e-07,6.9033,0.256499
4.5e-07,6.92411,0.255768
4.5e-07,6.94503,0.255037
4.5e-07,6.96604,0.254306
4.5e-07,6.98716,0.253576
4.5e-07,7.00839,0.252845
4.5e-07,7.02971,0.252115
4.5e-07,7.05115,0.251385
4.5e-07,7.07268,0.250655
4.5e-07,7.09432,0.249925
4.5e-07,7.11607,0.249196
4.5e-07,7.13793,0.248467
4.5e-07,7.15989,0.247737
4.5e-07,7.18196,0.247008
4.5e-07,7.20413,0.24628
4.5e-07,7.22642,0.245551
4.5e-07,7.24882,0.244823
4.5e-07,7.27132,0.244094
4.5e-07,7.29394,0.243366
4.5e-07,7.31666,0.242639
4.5e-07,7.3395,0.241911
4.5e-07,7.36245,0.241184
4.5e-07,7.38551,0.240456
4.5e-07,7.40869,0.239729
4.5e-07,7.43197,0.239003
4.5e-07,7.45538,0.238276
4.5e-07,7.47889,0.23755
4.5e-07,7.50253,0.236824
4.5e-07,7.52627,0.236098
4.5e-07,7.55014,0.235373
4.5e-07,7.57412,0.234647
4.5e-07,7.59822,0.233922
4.5e-07,7.62243,0.233197
4.5e-07,7.64677,0.232473
4.5e-07,7.67122,0.231749
4.5e-07,7.69579,0.231025
4.5e-07,7.72048,0.230301
4.5e-07,7.74529,0.229577
4.5e-07,7.77023,0.228854
4.5e-07,7.79528,0.228131
4.5e-07,7.82046,0.227409
4.5e-07,7.84575,0.226686
4.5e-07,7.87117,0.225964
4.5e-07,7.89672,0.225243
4.5e-07,7.92238,0.224521
4.5e-07,7.94818,0.2238
4.5e-07,7.97409,0.223079
4.5e-07,8.00013,0.222359
4.5e-07,8.0263,0.221639
4.5e-07,8.05259,0.220919
4.5e-07,8.07901,0.220199
4.5e-07,8.10556,0.21948
4.5e-07,8.13223,0.218761
4.5e-07,8.15903,0.218043
4.5e-07,8.18596,0.217325
4.5e-07,8.21302,0.216607
4.5e-07,8.24021,0.215889
4.5e-07,8.26753,0.215172
4.5e-07,8.29498,0.214456
4.5e-07,8.32255,0.213739
4.5e-07,8.35026,0.213024
4.5e-07,8.3781,0.212308
4.5e-07,8.40607,0.211593
4.5e-07,8.43418,0.210878
4.5e-07,8.46241,0.210164
4.5e-07,8.49078,0.20945
4.5e-07,8.51928,0.208737
4.5e-07,8.54791,0.208024
4.5e-07,8.57668,0.207311
4.5e-07,8.60558,0.206599
4.5e-07,8.63462,0.205887
4.5e-07,8.66379,0.205176
4.5e-07,8.6931,0.204465
4.5e-07,8.72254,0.203755
4.5e-07,8.75211,0.203045
4.5e-07,8.78183,0.202335
4.5e-07,8.81167,0.201626
4.5e-07,8.84166,0.200918
4.5e-07,8.87178,0.20021
4.5e-07,8.90204,0.199502
4.5e-07,8.93243,0.198796
4.5e-07,8.96296,0.198089
4.5e-07,8.99363,0.197383
4.5e-07,9.02444,0.196678
4.5e-07,9.05538,0.195973
4.5e-07,9.08646,0.195269
4.5e-07,9.11768,0.194565
4.5e-07,9.14904,0.193862
4.5e-07,9.18053,0.193159
4.5e-07,9.21217,0.192457
4.5e-07,9.24394,0.191756
4.5e-07,9.27585,0.191055
4.5e-07,9.30789,0.190354
4.5e-07,9.34008,0.189655
4.5e-07,9.3724,0.188956
4.5e-07,9.40487,0.188257
4.5e-07,9.43747,0.18756
4.5e-07,9.4702,0.186862
4.5e-07,9.50308,0.186166
4.5e-07,9.5361,0.18547
4.5e-07,9.56925,0.184775
4.5e-07,9.60254,0.18408
4.5e-07,9.63597,0.183386
4.5e-07,9.66953,0.182693
4.5e-07,9.70323,0.182001
4.5e-07,9.73707,0.181309
4.5e-07,9.77105,0.180618
4.5e-07,9.80516,0.179928
4.5e-07,9.83941,0.179238
4.5e-07,9.87379,0.178549
4.5e-07,9.90831,0.177861
4.5e-07,9.94297,0.177174
4.5e-07,9.97775,0.176487
4.5e-07,10.0127,0.175801
4.5e-07,10.0477,0.175116
4.5e-07,10.0829,0.174432
4.5e-07,10.1182,0.173749
4.5e-07,10.1537,0.173066
4.5e-07,10.1893,0.172385
4.5e-07,10.225,0.171704
4.5e-07,10.2609,0.171024
4.5e-07,10.2968,0.170345
4.5e-07,10.333,0.169666
4.5e-07,10.3692,0.168989
4.5e-07,10.4056,0.168312
4.5e-07,10.442,0.167637
4.5e-07,10.4787,0.166962
4.5e-07,10.5154,0.166288
4.5e-07,10.5523,0.165615
4.5e-07,10.5893,0.164943
4.5e-07,10.6264,0.164272
4.5e-07,10.6636,0.163602
4.5e-07,10.701,0.162933
4.5e-07,10.7385,0.162265
4.5e-07,10.7761,0.161598
4.5e-07,10.8138,0.160932
4.5e-07,10.8516,0.160267
4.5e-07,10.8896,0.159604
4.5e-07,10.9276,0.158941
4.5e-07,10.9658,0.158279
4.5e-07,11.0041,0.157618
4.5e-07,11.0425,0.156958
4.5e-07,11.081,0.1563
4.5e-07,11.1196,0.155642
4.5e-07,11.1583,0.154986
4.5e-07,11.1972,0.154331
4.5e-07,11.2361,0.153677
4.5e-07,11.2751,0.153024
4.5e-07,11.3143,0.152372
4.5e-07,11.3535,0.151722
4.5e-07,11.3928,0.151072
4.5e-07,11.4322,0.150424
4.5e-07,11.4717,0.149777
4.5e-07,11.5114,0.149131
4.5e-07,11.5511,0.148487
4.5e-07,11.5908,0.147844
4.5e-07,11.6307,0.147202
4.5e-07,11.6707,0.146561
4.5e-07,11.7107,0.145922
4.5e-07,11.7508,0.145284
4.5e-07,11.791,0.144647
