L,gm/Id,Vds_sat
4.5e-07,2.38931,0.42154
4.5e-07,2.39308,0.421164
4.5e-07,2.39687,0.420788
4.5e-07,2.40067,0.420413
4.5e-07,2.40448,0.420037
4.5e-07,2.4083,0.41966
4.5e-07,2.41213,0.419284
4.5e-07,2.41597,0.418907
4.5e-07,2.41982,0.41853
4.5e-07,2.42367,0.418154
4.5e-07,2.42754,0.417776
4.5e-07,2.43142,0.417399
4.5e-07,2.43531,0.417021
4.5e-07,2.43921,0.416644
4.5e-07,2.44312,0.416266
4.5e-07,2.44704,0.415888
4.5e-07,2.45097,0.415509
4.5e-07,2.45491,0.415131
4.5e-07,2.45886,0.414752
4.5e-07,2.46282,0.414373
4.5e-07,2.46679,0.413994
4.5e-07,2.47078,0.413615
4.5e-07,2.47477,0.413235
4.5e-07,2.47877,0.412855
4.5e-07,2.48279,0.412475
4.5e-07,2.48681,0.412095
4.5e-07,2.49085,0.411715
4.5e-07,2.4949,0.411334
4.5e-07,2.49895,0.410954
4.5e-07,2.50302,0.410573
4.5e-07,2.5071,0.410192
4.5e-07,2.51119,0.40981
4.5e-07,2.51529,0.409429
4.5e-07,2.5194,0.409047
4.5e-07,2.52353,0.408665
4.5e-07,2.52766,0.408283
4.5e-07,2.53181,0.407901
4.5e-07,2.53596,0.407518
4.5e-07,2.54013,0.407135
4.5e-07,2.54431,0.406752
4.5e-07,2.5485,0.406369
4.5e-07,2.55271,0.405986
4.5e-07,2.55692,0.405602
4.5e-07,2.56114,0.405218
4.5e-07,2.56538,0.404834
4.5e-07,2.56963,0.40445
4.5e-07,2.57389,0.404066
4.5e-07,2.57816,0.403681
4.5e-07,2.58245,0.403296
4.5e-07,2.58674,0.402911
4.5e-07,2.59105,0.402526
4.5e-07,2.59537,0.40214
4.5e-07,2.5997,0.401755
4.5e-07,2.60404,0.401369
4.5e-07,2.6084,0.400982
4.5e-07,2.61276,0.400596
4.5e-07,2.61714,0.400209
4.5e-07,2.62154,0.399823
4.5e-07,2.62594,0.399436
4.5e-07,2.63036,0.399048
4.5e-07,2.63478,0.398661
4.5e-07,2.63923,0.398273
4.5e-07,2.64368,0.397885
4.5e-07,2.64815,0.397497
4.5e-07,2.65262,0.397109
4.5e-07,2.65712,0.39672
4.5e-07,2.66162,0.396331
4.5e-07,2.66614,0.395942
4.5e-07,2.67067,0.395553
4.5e-07,2.67521,0.395164
4.5e-07,2.67976,0.394774
4.5e-07,2.68433,0.394384
4.5e-07,2.68891,0.393994
4.5e-07,2.69351,0.393603
4.5e-07,2.69811,0.393213
4.5e-07,2.70273,0.392822
4.5e-07,2.70737,0.392431
4.5e-07,2.71202,0.392039
4.5e-07,2.71668,0.391648
4.5e-07,2.72135,0.391256
4.5e-07,2.72604,0.390864
4.5e-07,2.73074,0.390472
4.5e-07,2.73545,0.390079
4.5e-07,2.74018,0.389687
4.5e-07,2.74492,0.389294
4.5e-07,2.74968,0.388901
4.5e-07,2.75445,0.388507
4.5e-07,2.75923,0.388113
4.5e-07,2.76403,0.38772
4.5e-07,2.76884,0.387325
4.5e-07,2.77367,0.386931
4.5e-07,2.7785,0.386536
4.5e-07,2.78336,0.386142
4.5e-07,2.78823,0.385747
4.5e-07,2.79311,0.385351
4.5e-07,2.79801,0.384956
4.5e-07,2.80292,0.38456
4.5e-07,2.80784,0.384164
4.5e-07,2.81278,0.383767
4.5e-07,2.81774,0.383371
4.5e-07,2.82271,0.382974
4.5e-07,2.82769,0.382577
4.5e-07,2.83269,0.38218
4.5e-07,2.83771,0.381782
4.5e-07,2.84274,0.381384
4.5e-07,2.84778,0.380986
4.5e-07,2.85284,0.380588
4.5e-07,2.85791,0.380189
4.5e-07,2.863,0.379791
4.5e-07,2.86811,0.379392
4.5e-07,2.87323,0.378992
4.5e-07,2.87837,0.378593
4.5e-07,2.88352,0.378193
4.5e-07,2.88869,0.377793
4.5e-07,2.89387,0.377393
4.5e-07,2.89907,0.376992
4.5e-07,2.90428,0.376591
4.5e-07,2.90951,0.37619
4.5e-07,2.91476,0.375789
4.5e-07,2.92002,0.375387
4.5e-07,2.9253,0.374985
4.5e-07,2.9306,0.374583
4.5e-07,2.93591,0.374181
4.5e-07,2.94123,0.373778
4.5e-07,2.94658,0.373375
4.5e-07,2.95194,0.372972
4.5e-07,2.95732,0.372569
4.5e-07,2.96271,0.372165
4.5e-07,2.96812,0.371761
4.5e-07,2.97355,0.371357
4.5e-07,2.97899,0.370953
4.5e-07,2.98445,0.370548
4.5e-07,2.98993,0.370143
4.5e-07,2.99543,0.369738
4.5e-07,3.00094,0.369332
4.5e-07,3.00647,0.368926
4.5e-07,3.01202,0.36852
4.5e-07,3.01758,0.368114
4.5e-07,3.02317,0.367707
4.5e-07,3.02877,0.3673
4.5e-07,3.03439,0.366893
4.5e-07,3.04002,0.366486
4.5e-07,3.04568,0.366078
4.5e-07,3.05135,0.36567
4.5e-07,3.05704,0.365262
4.5e-07,3.06275,0.364853
4.5e-07,3.06847,0.364444
4.5e-07,3.07422,0.364035
4.5e-07,3.07998,0.363626
4.5e-07,3.08576,0.363216
4.5e-07,3.09156,0.362806
4.5e-07,3.09738,0.362396
4.5e-07,3.10322,0.361986
4.5e-07,3.10908,0.361575
4.5e-07,3.11495,0.361164
4.5e-07,3.12085,0.360753
4.5e-07,3.12676,0.360341
4.5e-07,3.1327,0.359929
4.5e-07,3.13865,0.359517
4.5e-07,3.14462,0.359104
4.5e-07,3.15061,0.358692
4.5e-07,3.15663,0.358279
4.5e-07,3.16266,0.357865
4.5e-07,3.16871,0.357452
4.5e-07,3.17478,0.357038
4.5e-07,3.18087,0.356624
4.5e-07,3.18698,0.356209
4.5e-07,3.19312,0.355794
4.5e-07,3.19927,0.355379
4.5e-07,3.20544,0.354964
4.5e-07,3.21163,0.354548
4.5e-07,3.21785,0.354132
4.5e-07,3.22408,0.353716
4.5e-07,3.23034,0.3533
4.5e-07,3.23662,0.352883
4.5e-07,3.24291,0.352466
4.5e-07,3.24923,0.352048
4.5e-07,3.25557,0.35163
4.5e-07,3.26194,0.351212
4.5e-07,3.26832,0.350794
4.5e-07,3.27472,0.350375
4.5e-07,3.28115,0.349957
4.5e-07,3.2876,0.349537
4.5e-07,3.29407,0.349118
4.5e-07,3.30057,0.348698
4.5e-07,3.30708,0.348278
4.5e-07,3.31362,0.347857
4.5e-07,3.32018,0.347437
4.5e-07,3.32676,0.347016
4.5e-07,3.33337,0.346594
4.5e-07,3.34,0.346173
4.5e-07,3.34665,0.345751
4.5e-07,3.35332,0.345328
4.5e-07,3.36002,0.344906
4.5e-07,3.36674,0.344483
4.5e-07,3.37349,0.34406
4.5e-07,3.38026,0.343636
4.5e-07,3.38705,0.343212
4.5e-07,3.39386,0.342788
4.5e-07,3.4007,0.342364
4.5e-07,3.40757,0.341939
4.5e-07,3.41446,0.341514
4.5e-07,3.42137,0.341088
4.5e-07,3.4283,0.340663
4.5e-07,3.43527,0.340237
4.5e-07,3.44225,0.33981
4.5e-07,3.44926,0.339383
4.5e-07,3.4563,0.338956
4.5e-07,3.46336,0.338529
4.5e-07,3.47045,0.338101
4.5e-07,3.47756,0.337673
4.5e-07,3.4847,0.337245
4.5e-07,3.49186,0.336817
4.5e-07,3.49905,0.336388
4.5e-07,3.50627,0.335958
4.5e-07,3.51351,0.335529
4.5e-07,3.52078,0.335099
4.5e-07,3.52807,0.334668
4.5e-07,3.53539,0.334238
4.5e-07,3.54274,0.333807
4.5e-07,3.55012,0.333376
4.5e-07,3.55752,0.332944
4.5e-07,3.56495,0.332512
4.5e-07,3.5724,0.33208
4.5e-07,3.57989,0.331647
4.5e-07,3.5874,0.331214
4.5e-07,3.59494,0.330781
4.5e-07,3.6025,0.330348
4.5e-07,3.6101,0.329914
4.5e-07,3.61772,0.329479
4.5e-07,3.62537,0.329045
4.5e-07,3.63306,0.32861
4.5e-07,3.64077,0.328175
4.5e-07,3.6485,0.327739
4.5e-07,3.65627,0.327303
4.5e-07,3.66407,0.326867
4.5e-07,3.67189,0.32643
4.5e-07,3.67975,0.325993
4.5e-07,3.68763,0.325556
4.5e-07,3.69555,0.325118
4.5e-07,3.7035,0.32468
4.5e-07,3.71147,0.324242
4.5e-07,3.71948,0.323803
4.5e-07,3.72751,0.323364
4.5e-07,3.73558,0.322924
4.5e-07,3.74368,0.322485
4.5e-07,3.75181,0.322044
4.5e-07,3.75997,0.321604
4.5e-07,3.76817,0.321163
4.5e-07,3.77639,0.320722
4.5e-07,3.78465,0.32028
4.5e-07,3.79293,0.319838
4.5e-07,3.80126,0.319396
4.5e-07,3.80961,0.318954
4.5e-07,3.818,0.318511
4.5e-07,3.82641,0.318067
4.5e-07,3.83487,0.317624
4.5e-07,3.84335,0.317179
4.5e-07,3.85187,0.316735
4.5e-07,3.86042,0.31629
4.5e-07,3.86901,0.315845
4.5e-07,3.87763,0.3154
4.5e-07,3.88628,0.314954
4.5e-07,3.89497,0.314508
4.5e-07,3.9037,0.314061
4.5e-07,3.91245,0.313614
4.5e-07,3.92125,0.313167
4.5e-07,3.93008,0.312719
4.5e-07,3.93894,0.312271
4.5e-07,3.94784,0.311822
4.5e-07,3.95678,0.311374
4.5e-07,3.96575,0.310924
4.5e-07,3.97476,0.310475
4.5e-07,3.9838,0.310025
4.5e-07,3.99288,0.309575
4.5e-07,4.002,0.309124
4.5e-07,4.01116,0.308673
4.5e-07,4.02035,0.308221
4.5e-07,4.02959,0.30777
4.5e-07,4.03885,0.307317
4.5e-07,4.04816,0.306865
4.5e-07,4.05751,0.306412
4.5e-07,4.06689,0.305958
4.5e-07,4.07632,0.305505
4.5e-07,4.08578,0.305051
4.5e-07,4.09528,0.304596
