L,gm/Id,Ai
4.5e-07,4.12707,49.206
4.5e-07,4.13554,49.3098
4.5e-07,4.14405,49.4138
4.5e-07,4.15258,49.518
4.5e-07,4.16115,49.6225
4.5e-07,4.16974,49.7272
4.5e-07,4.17837,49.8322
4.5e-07,4.18704,49.9374
4.5e-07,4.19573,50.0429
4.5e-07,4.20446,50.1485
4.5e-07,4.21322,50.2545
4.5e-07,4.22201,50.3606
4.5e-07,4.23083,50.4671
4.5e-07,4.23969,50.5737
4.5e-07,4.24858,50.6806
4.5e-07,4.25751,50.7878
4.5e-07,4.26647,50.8952
4.5e-07,4.27546,51.0028
4.5e-07,4.28449,51.1107
4.5e-07,4.29355,51.2189
4.5e-07,4.30265,51.3273
4.5e-07,4.31178,51.4359
4.5e-07,4.32095,51.5448
4.5e-07,4.33015,51.654
4.5e-07,4.33938,51.7634
4.5e-07,4.34866,51.873
4.5e-07,4.35796,51.9829
4.5e-07,4.36731,52.0931
4.5e-07,4.37669,52.2035
4.5e-07,4.3861,52.3142
4.5e-07,4.39556,52.4251
4.5e-07,4.40504,52.5363
4.5e-07,4.41457,52.6478
4.5e-07,4.42413,52.7595
4.5e-07,4.43373,52.8715
4.5e-07,4.44337,52.9837
4.5e-07,4.45305,53.0962
4.5e-07,4.46276,53.2089
4.5e-07,4.47251,53.322
4.5e-07,4.4823,53.4352
4.5e-07,4.49213,53.5488
4.5e-07,4.502,53.6626
4.5e-07,4.51191,53.7767
4.5e-07,4.52185,53.891
4.5e-07,4.53184,54.0056
4.5e-07,4.54186,54.1205
4.5e-07,4.55193,54.2357
4.5e-07,4.56204,54.3511
4.5e-07,4.57218,54.4668
4.5e-07,4.58237,54.5827
4.5e-07,4.59259,54.699
4.5e-07,4.60286,54.8155
4.5e-07,4.61317,54.9323
4.5e-07,4.62352,55.0493
4.5e-07,4.63391,55.1666
4.5e-07,4.64435,55.2842
4.5e-07,4.65483,55.4021
4.5e-07,4.66535,55.5203
4.5e-07,4.67591,55.6387
4.5e-07,4.68651,55.7574
4.5e-07,4.69716,55.8764
4.5e-07,4.70785,55.9957
4.5e-07,4.71859,56.1153
4.5e-07,4.72937,56.2351
4.5e-07,4.74019,56.3552
4.5e-07,4.75106,56.4756
4.5e-07,4.76197,56.5963
4.5e-07,4.77293,56.7173
4.5e-07,4.78393,56.8386
4.5e-07,4.79498,56.9601
4.5e-07,4.80607,57.0819
4.5e-07,4.81722,57.2041
4.5e-07,4.8284,57.3265
4.5e-07,4.83963,57.4492
4.5e-07,4.85091,57.5722
4.5e-07,4.86224,57.6954
4.5e-07,4.87362,57.819
4.5e-07,4.88504,57.9429
4.5e-07,4.89651,58.067
4.5e-07,4.90803,58.1915
4.5e-07,4.91959,58.3162
4.5e-07,4.93121,58.4413
4.5e-07,4.94287,58.5666
4.5e-07,4.95459,58.6922
4.5e-07,4.96635,58.8181
4.5e-07,4.97816,58.9444
4.5e-07,4.99003,59.0709
4.5e-07,5.00194,59.1977
4.5e-07,5.01391,59.3249
4.5e-07,5.02592,59.4523
4.5e-07,5.03799,59.58
4.5e-07,5.05011,59.708
4.5e-07,5.06228,59.8364
4.5e-07,5.0745,59.965
4.5e-07,5.08678,60.0939
4.5e-07,5.09911,60.2232
4.5e-07,5.11149,60.3527
4.5e-07,5.12392,60.4826
4.5e-07,5.13641,60.6128
4.5e-07,5.14896,60.7432
4.5e-07,5.16155,60.874
4.5e-07,5.17421,61.0051
4.5e-07,5.18691,61.1365
4.5e-07,5.19968,61.2682
4.5e-07,5.2125,61.4002
4.5e-07,5.22537,61.5326
4.5e-07,5.2383,61.6652
4.5e-07,5.25129,61.7982
4.5e-07,5.26434,61.9315
4.5e-07,5.27744,62.065
4.5e-07,5.2906,62.1989
4.5e-07,5.30382,62.3332
4.5e-07,5.3171,62.4677
4.5e-07,5.33043,62.6025
4.5e-07,5.34383,62.7377
4.5e-07,5.35728,62.8732
4.5e-07,5.37079,63.009
4.5e-07,5.38437,63.1451
4.5e-07,5.398,63.2816
4.5e-07,5.4117,63.4183
4.5e-07,5.42546,63.5554
4.5e-07,5.43928,63.6928
4.5e-07,5.45316,63.8305
4.5e-07,5.4671,63.9686
4.5e-07,5.48111,64.107
4.5e-07,5.49517,64.2457
4.5e-07,5.50931,64.3847
4.5e-07,5.5235,64.524
4.5e-07,5.53776,64.6637
4.5e-07,5.55209,64.8037
4.5e-07,5.56648,64.944
4.5e-07,5.58093,65.0847
4.5e-07,5.59546,65.2256
4.5e-07,5.61004,65.3669
4.5e-07,5.6247,65.5086
4.5e-07,5.63942,65.6505
4.5e-07,5.65421,65.7928
4.5e-07,5.66906,65.9354
4.5e-07,5.68399,66.0784
4.5e-07,5.69898,66.2216
4.5e-07,5.71404,66.3652
4.5e-07,5.72917,66.5092
4.5e-07,5.74437,66.6534
4.5e-07,5.75964,66.798
4.5e-07,5.77498,66.943
4.5e-07,5.79039,67.0882
4.5e-07,5.80588,67.2338
4.5e-07,5.82143,67.3798
4.5e-07,5.83706,67.526
4.5e-07,5.85276,67.6726
4.5e-07,5.86853,67.8195
4.5e-07,5.88438,67.9668
4.5e-07,5.9003,68.1144
4.5e-07,5.9163,68.2623
4.5e-07,5.93237,68.4106
4.5e-07,5.94851,68.5592
4.5e-07,5.96473,68.7081
4.5e-07,5.98103,68.8574
4.5e-07,5.9974,69.007
4.5e-07,6.01385,69.1569
4.5e-07,6.03038,69.3072
4.5e-07,6.04699,69.4578
4.5e-07,6.06367,69.6088
4.5e-07,6.08043,69.76
4.5e-07,6.09727,69.9117
4.5e-07,6.1142,70.0636
4.5e-07,6.1312,70.2159
4.5e-07,6.14828,70.3685
4.5e-07,6.16545,70.5215
4.5e-07,6.18269,70.6748
4.5e-07,6.20002,70.8284
4.5e-07,6.21743,70.9824
4.5e-07,6.23492,71.1367
4.5e-07,6.2525,71.2913
4.5e-07,6.27016,71.4463
4.5e-07,6.2879,71.6016
4.5e-07,6.30573,71.7572
4.5e-07,6.32365,71.9132
4.5e-07,6.34165,72.0695
4.5e-07,6.35974,72.2262
4.5e-07,6.37791,72.3831
4.5e-07,6.39618,72.5404
4.5e-07,6.41452,72.6981
4.5e-07,6.43296,72.8561
4.5e-07,6.45149,73.0144
4.5e-07,6.47011,73.173
4.5e-07,6.48881,73.332
4.5e-07,6.50761,73.4913
4.5e-07,6.5265,73.6509
4.5e-07,6.54547,73.8109
4.5e-07,6.56455,73.9712
4.5e-07,6.58371,74.1318
4.5e-07,6.60296,74.2928
4.5e-07,6.62231,74.4541
4.5e-07,6.64176,74.6157
4.5e-07,6.66129,74.7776
4.5e-07,6.68093,74.9399
4.5e-07,6.70065,75.1025
4.5e-07,6.72048,75.2654
4.5e-07,6.7404,75.4286
4.5e-07,6.76042,75.5922
4.5e-07,6.78053,75.7561
4.5e-07,6.80075,75.9203
4.5e-07,6.82106,76.0848
4.5e-07,6.84147,76.2496
4.5e-07,6.86198,76.4148
4.5e-07,6.88259,76.5803
4.5e-07,6.9033,76.7461
4.5e-07,6.92411,76.9122
4.5e-07,6.94503,77.0786
4.5e-07,6.96604,77.2453
4.5e-07,6.98716,77.4124
4.5e-07,7.00839,77.5797
4.5e-07,7.02971,77.7474
4.5e-07,7.05115,77.9154
4.5e-07,7.07268,78.0837
4.5e-07,7.09432,78.2522
4.5e-07,7.11607,78.4211
4.5e-07,7.13793,78.5903
4.5e-07,7.15989,78.7598
4.5e-07,7.18196,78.9296
4.5e-07,7.20413,79.0997
4.5e-07,7.22642,79.2701
4.5e-07,7.24882,79.4408
4.5e-07,7.27132,79.6117
4.5e-07,7.29394,79.783
4.5e-07,7.31666,79.9545
4.5e-07,7.3395,80.1264
4.5e-07,7.36245,80.2985
4.5e-07,7.38551,80.4709
4.5e-07,7.40869,80.6436
4.5e-07,7.43197,80.8165
4.5e-07,7.45538,80.9898
4.5e-07,7.47889,81.1633
