L,gm/Id,Ai
4.5e-07,1.64071,19.0849
4.5e-07,1.64279,19.1206
4.5e-07,1.64487,19.1563
4.5e-07,1.64696,19.1922
4.5e-07,1.64906,19.228
4.5e-07,1.65115,19.264
4.5e-07,1.65325,19.3
4.5e-07,1.65536,19.3361
4.5e-07,1.65747,19.3723
4.5e-07,1.65958,19.4085
4.5e-07,1.6617,19.4448
4.5e-07,1.66382,19.4812
4.5e-07,1.66595,19.5176
4.5e-07,1.66808,19.5541
4.5e-07,1.67021,19.5907
4.5e-07,1.67235,19.6274
4.5e-07,1.67449,19.6641
4.5e-07,1.67664,19.7009
4.5e-07,1.67879,19.7378
4.5e-07,1.68095,19.7747
4.5e-07,1.68311,19.8117
4.5e-07,1.68527,19.8488
4.5e-07,1.68744,19.886
4.5e-07,1.68961,19.9232
4.5e-07,1.69179,19.9605
4.5e-07,1.69397,19.9979
4.5e-07,1.69616,20.0353
4.5e-07,1.69835,20.0729
4.5e-07,1.70054,20.1105
4.5e-07,1.70274,20.1482
4.5e-07,1.70494,20.1859
4.5e-07,1.70715,20.2237
4.5e-07,1.70937,20.2616
4.5e-07,1.71158,20.2996
4.5e-07,1.7138,20.3376
4.5e-07,1.71603,20.3758
4.5e-07,1.71826,20.414
4.5e-07,1.72049,20.4522
4.5e-07,1.72273,20.4906
4.5e-07,1.72498,20.529
4.5e-07,1.72723,20.5675
4.5e-07,1.72948,20.6061
4.5e-07,1.73174,20.6447
4.5e-07,1.734,20.6835
4.5e-07,1.73626,20.7223
4.5e-07,1.73854,20.7612
4.5e-07,1.74081,20.8001
4.5e-07,1.74309,20.8392
4.5e-07,1.74538,20.8783
4.5e-07,1.74767,20.9175
4.5e-07,1.74996,20.9567
4.5e-07,1.75226,20.9961
4.5e-07,1.75457,21.0355
4.5e-07,1.75687,21.075
4.5e-07,1.75919,21.1146
4.5e-07,1.76151,21.1543
4.5e-07,1.76383,21.194
4.5e-07,1.76616,21.2338
4.5e-07,1.76849,21.2737
4.5e-07,1.77083,21.3137
4.5e-07,1.77317,21.3538
4.5e-07,1.77552,21.3939
4.5e-07,1.77787,21.4341
4.5e-07,1.78022,21.4744
4.5e-07,1.78259,21.5148
4.5e-07,1.78495,21.5553
4.5e-07,1.78732,21.5958
4.5e-07,1.7897,21.6365
4.5e-07,1.79208,21.6772
4.5e-07,1.79447,21.718
4.5e-07,1.79686,21.7588
4.5e-07,1.79925,21.7998
4.5e-07,1.80166,21.8408
4.5e-07,1.80406,21.8819
4.5e-07,1.80647,21.9231
4.5e-07,1.80889,21.9644
4.5e-07,1.81131,22.0058
4.5e-07,1.81374,22.0472
4.5e-07,1.81617,22.0888
4.5e-07,1.81861,22.1304
4.5e-07,1.82105,22.1721
4.5e-07,1.82349,22.2139
4.5e-07,1.82595,22.2558
4.5e-07,1.8284,22.2977
4.5e-07,1.83087,22.3398
4.5e-07,1.83333,22.3819
4.5e-07,1.83581,22.4241
4.5e-07,1.83829,22.4664
4.5e-07,1.84077,22.5088
4.5e-07,1.84326,22.5512
4.5e-07,1.84575,22.5938
4.5e-07,1.84825,22.6364
4.5e-07,1.85075,22.6792
4.5e-07,1.85326,22.722
4.5e-07,1.85578,22.7649
4.5e-07,1.8583,22.8079
4.5e-07,1.86083,22.851
4.5e-07,1.86336,22.8941
4.5e-07,1.86589,22.9374
4.5e-07,1.86844,22.9807
4.5e-07,1.87098,23.0241
4.5e-07,1.87354,23.0677
4.5e-07,1.8761,23.1113
4.5e-07,1.87866,23.155
4.5e-07,1.88123,23.1988
4.5e-07,1.88381,23.2426
4.5e-07,1.88639,23.2866
4.5e-07,1.88897,23.3307
4.5e-07,1.89156,23.3748
4.5e-07,1.89416,23.419
4.5e-07,1.89677,23.4634
4.5e-07,1.89937,23.5078
4.5e-07,1.90199,23.5523
4.5e-07,1.90461,23.5969
4.5e-07,1.90723,23.6416
4.5e-07,1.90987,23.6864
4.5e-07,1.9125,23.7313
4.5e-07,1.91515,23.7762
4.5e-07,1.9178,23.8213
4.5e-07,1.92045,23.8664
4.5e-07,1.92311,23.9117
4.5e-07,1.92578,23.957
4.5e-07,1.92845,24.0025
4.5e-07,1.93113,24.048
4.5e-07,1.93381,24.0936
4.5e-07,1.9365,24.1394
4.5e-07,1.9392,24.1852
4.5e-07,1.9419,24.2311
4.5e-07,1.94461,24.2771
4.5e-07,1.94732,24.3232
4.5e-07,1.95004,24.3694
4.5e-07,1.95276,24.4157
4.5e-07,1.9555,24.4621
4.5e-07,1.95823,24.5085
4.5e-07,1.96098,24.5551
4.5e-07,1.96373,24.6018
4.5e-07,1.96648,24.6486
4.5e-07,1.96925,24.6955
4.5e-07,1.97201,24.7424
4.5e-07,1.97479,24.7895
4.5e-07,1.97757,24.8367
4.5e-07,1.98036,24.8839
4.5e-07,1.98315,24.9313
4.5e-07,1.98595,24.9788
4.5e-07,1.98875,25.0263
4.5e-07,1.99157,25.074
4.5e-07,1.99438,25.1217
4.5e-07,1.99721,25.1696
4.5e-07,2.00004,25.2176
4.5e-07,2.00288,25.2656
4.5e-07,2.00572,25.3138
4.5e-07,2.00857,25.3621
4.5e-07,2.01143,25.4104
4.5e-07,2.01429,25.4589
