L,gm/Id,Vgs
4.5e-07,1.70494,1.53167
4.5e-07,1.70715,1.53077
4.5e-07,1.70937,1.52986
4.5e-07,1.71158,1.52896
4.5e-07,1.7138,1.52806
4.5e-07,1.71603,1.52716
4.5e-07,1.71826,1.52626
4.5e-07,1.72049,1.52536
4.5e-07,1.72273,1.52446
4.5e-07,1.72498,1.52356
4.5e-07,1.72723,1.52266
4.5e-07,1.72948,1.52176
4.5e-07,1.73174,1.52086
4.5e-07,1.734,1.51996
4.5e-07,1.73626,1.51906
4.5e-07,1.73854,1.51816
4.5e-07,1.74081,1.51726
4.5e-07,1.74309,1.51636
4.5e-07,1.74538,1.51546
4.5e-07,1.74767,1.51456
4.5e-07,1.74996,1.51366
4.5e-07,1.75226,1.51276
4.5e-07,1.75457,1.51186
4.5e-07,1.75687,1.51096
4.5e-07,1.75919,1.51006
4.5e-07,1.76151,1.50915
4.5e-07,1.76383,1.50825
4.5e-07,1.76616,1.50735
4.5e-07,1.76849,1.50645
4.5e-07,1.77083,1.50555
4.5e-07,1.77317,1.50465
4.5e-07,1.77552,1.50375
4.5e-07,1.77787,1.50285
4.5e-07,1.78022,1.50195
4.5e-07,1.78259,1.50105
4.5e-07,1.78495,1.50015
4.5e-07,1.78732,1.49925
4.5e-07,1.7897,1.49835
4.5e-07,1.79208,1.49745
4.5e-07,1.79447,1.49655
4.5e-07,1.79686,1.49565
4.5e-07,1.79925,1.49475
4.5e-07,1.80166,1.49385
4.5e-07,1.80406,1.49295
4.5e-07,1.80647,1.49205
4.5e-07,1.80889,1.49115
4.5e-07,1.81131,1.49025
4.5e-07,1.81374,1.48934
4.5e-07,1.81617,1.48844
4.5e-07,1.81861,1.48754
4.5e-07,1.82105,1.48664
4.5e-07,1.82349,1.48574
4.5e-07,1.82595,1.48484
4.5e-07,1.8284,1.48394
4.5e-07,1.83087,1.48304
4.5e-07,1.83333,1.48214
4.5e-07,1.83581,1.48124
4.5e-07,1.83829,1.48034
4.5e-07,1.84077,1.47944
4.5e-07,1.84326,1.47854
4.5e-07,1.84575,1.47764
4.5e-07,1.84825,1.47674
4.5e-07,1.85075,1.47584
4.5e-07,1.85326,1.47494
4.5e-07,1.85578,1.47404
4.5e-07,1.8583,1.47314
4.5e-07,1.86083,1.47224
4.5e-07,1.86336,1.47134
4.5e-07,1.86589,1.47044
4.5e-07,1.86844,1.46953
4.5e-07,1.87098,1.46863
4.5e-07,1.87354,1.46773
4.5e-07,1.8761,1.46683
4.5e-07,1.87866,1.46593
4.5e-07,1.88123,1.46503
4.5e-07,1.88381,1.46413
4.5e-07,1.88639,1.46323
4.5e-07,1.88897,1.46233
4.5e-07,1.89156,1.46143
4.5e-07,1.89416,1.46053
4.5e-07,1.89677,1.45963
4.5e-07,1.89937,1.45873
4.5e-07,1.90199,1.45783
4.5e-07,1.90461,1.45693
4.5e-07,1.90723,1.45603
4.5e-07,1.90987,1.45513
4.5e-07,1.9125,1.45423
4.5e-07,1.91515,1.45333
4.5e-07,1.9178,1.45243
4.5e-07,1.92045,1.45153
4.5e-07,1.92311,1.45063
4.5e-07,1.92578,1.44972
4.5e-07,1.92845,1.44882
4.5e-07,1.93113,1.44792
4.5e-07,1.93381,1.44702
4.5e-07,1.9365,1.44612
4.5e-07,1.9392,1.44522
4.5e-07,1.9419,1.44432
4.5e-07,1.94461,1.44342
4.5e-07,1.94732,1.44252
4.5e-07,1.95004,1.44162
4.5e-07,1.95276,1.44072
4.5e-07,1.9555,1.43982
4.5e-07,1.95823,1.43892
4.5e-07,1.96098,1.43802
4.5e-07,1.96373,1.43712
