L,Id/W,gm/Id
4.5e-07,144.601,1.86589
4.5e-07,144.358,1.86844
4.5e-07,144.115,1.87098
4.5e-07,143.873,1.87354
4.5e-07,143.63,1.8761
4.5e-07,143.387,1.87866
4.5e-07,143.145,1.88123
4.5e-07,142.902,1.88381
4.5e-07,142.66,1.88639
4.5e-07,142.418,1.88897
4.5e-07,142.176,1.89156
4.5e-07,141.933,1.89416
4.5e-07,141.691,1.89677
4.5e-07,141.449,1.89937
4.5e-07,141.208,1.90199
4.5e-07,140.966,1.90461
4.5e-07,140.724,1.90723
4.5e-07,140.482,1.90987
4.5e-07,140.241,1.9125
4.5e-07,139.999,1.91515
4.5e-07,139.758,1.9178
4.5e-07,139.517,1.92045
4.5e-07,139.276,1.92311
4.5e-07,139.034,1.92578
4.5e-07,138.793,1.92845
4.5e-07,138.552,1.93113
4.5e-07,138.311,1.93381
4.5e-07,138.071,1.9365
4.5e-07,137.83,1.9392
4.5e-07,137.589,1.9419
4.5e-07,137.349,1.94461
4.5e-07,137.108,1.94732
4.5e-07,136.868,1.95004
4.5e-07,136.628,1.95276
4.5e-07,136.387,1.9555
4.5e-07,136.147,1.95823
4.5e-07,135.907,1.96098
4.5e-07,135.667,1.96373
4.5e-07,135.428,1.96648
4.5e-07,135.188,1.96925
4.5e-07,134.948,1.97201
4.5e-07,134.709,1.97479
4.5e-07,134.469,1.97757
4.5e-07,134.23,1.98036
4.5e-07,133.99,1.98315
4.5e-07,133.751,1.98595
4.5e-07,133.512,1.98875
4.5e-07,133.273,1.99157
4.5e-07,133.034,1.99438
4.5e-07,132.795,1.99721
4.5e-07,132.556,2.00004
4.5e-07,132.318,2.00288
4.5e-07,132.079,2.00572
4.5e-07,131.841,2.00857
4.5e-07,131.602,2.01143
4.5e-07,131.364,2.01429
4.5e-07,131.126,2.01716
4.5e-07,130.888,2.02004
4.5e-07,130.65,2.02292
4.5e-07,130.412,2.02581
4.5e-07,130.174,2.0287
4.5e-07,129.936,2.03161
4.5e-07,129.698,2.03451
4.5e-07,129.461,2.03743
4.5e-07,129.223,2.04035
4.5e-07,128.986,2.04328
4.5e-07,128.749,2.04622
4.5e-07,128.511,2.04916
4.5e-07,128.274,2.05211
4.5e-07,128.037,2.05506
4.5e-07,127.801,2.05803
4.5e-07,127.564,2.061
4.5e-07,127.327,2.06397
4.5e-07,127.09,2.06696
4.5e-07,126.854,2.06995
4.5e-07,126.618,2.07294
4.5e-07,126.381,2.07595
4.5e-07,126.145,2.07896
4.5e-07,125.909,2.08198
4.5e-07,125.673,2.085
4.5e-07,125.437,2.08803
4.5e-07,125.201,2.09107
4.5e-07,124.966,2.09412
4.5e-07,124.73,2.09717
4.5e-07,124.495,2.10023
4.5e-07,124.259,2.1033
4.5e-07,124.024,2.10637
4.5e-07,123.789,2.10945
4.5e-07,123.554,2.11254
4.5e-07,123.319,2.11564
4.5e-07,123.084,2.11874
4.5e-07,122.849,2.12185
4.5e-07,122.614,2.12497
4.5e-07,122.38,2.1281
4.5e-07,122.145,2.13123
4.5e-07,121.911,2.13437
4.5e-07,121.677,2.13752
4.5e-07,121.443,2.14068
4.5e-07,121.209,2.14384
4.5e-07,120.975,2.14701
4.5e-07,120.741,2.15019
4.5e-07,120.507,2.15337
4.5e-07,120.273,2.15656
4.5e-07,120.04,2.15977
4.5e-07,119.807,2.16297
4.5e-07,119.573,2.16619
4.5e-07,119.34,2.16941
4.5e-07,119.107,2.17264
4.5e-07,118.874,2.17588
4.5e-07,118.641,2.17913
4.5e-07,118.408,2.18238
4.5e-07,118.176,2.18565
4.5e-07,117.943,2.18892
4.5e-07,117.711,2.1922
4.5e-07,117.479,2.19548
4.5e-07,117.246,2.19878
4.5e-07,117.014,2.20208
4.5e-07,116.782,2.20539
4.5e-07,116.551,2.20871
4.5e-07,116.319,2.21203
4.5e-07,116.087,2.21537
4.5e-07,115.856,2.21871
4.5e-07,115.624,2.22206
4.5e-07,115.393,2.22542
4.5e-07,115.162,2.22879
4.5e-07,114.931,2.23216
4.5e-07,114.7,2.23554
4.5e-07,114.469,2.23894
4.5e-07,114.238,2.24234
4.5e-07,114.008,2.24574
4.5e-07,113.777,2.24916
4.5e-07,113.547,2.25259
4.5e-07,113.317,2.25602
4.5e-07,113.086,2.25946
4.5e-07,112.856,2.26291
4.5e-07,112.626,2.26637
4.5e-07,112.397,2.26984
4.5e-07,112.167,2.27332
4.5e-07,111.937,2.2768
4.5e-07,111.708,2.2803
4.5e-07,111.479,2.2838
4.5e-07,111.25,2.28731
4.5e-07,111.02,2.29083
4.5e-07,110.792,2.29436
4.5e-07,110.563,2.2979
4.5e-07,110.334,2.30144
4.5e-07,110.105,2.305
4.5e-07,109.877,2.30856
4.5e-07,109.649,2.31214
4.5e-07,109.42,2.31572
4.5e-07,109.192,2.31931
4.5e-07,108.964,2.32291
4.5e-07,108.736,2.32652
4.5e-07,108.509,2.33014
4.5e-07,108.281,2.33376
4.5e-07,108.054,2.3374
4.5e-07,107.826,2.34105
4.5e-07,107.599,2.3447
4.5e-07,107.372,2.34837
4.5e-07,107.145,2.35204
4.5e-07,106.918,2.35573
4.5e-07,106.691,2.35942
4.5e-07,106.465,2.36312
4.5e-07,106.238,2.36683
4.5e-07,106.012,2.37055
4.5e-07,105.786,2.37429
4.5e-07,105.56,2.37803
4.5e-07,105.334,2.38178
4.5e-07,105.108,2.38554
4.5e-07,104.882,2.38931
4.5e-07,104.656,2.39308
4.5e-07,104.431,2.39687
4.5e-07,104.206,2.40067
4.5e-07,103.98,2.40448
4.5e-07,103.755,2.4083
4.5e-07,103.53,2.41213
4.5e-07,103.306,2.41597
4.5e-07,103.081,2.41982
4.5e-07,102.856,2.42367
4.5e-07,102.632,2.42754
4.5e-07,102.408,2.43142
4.5e-07,102.184,2.43531
4.5e-07,101.96,2.43921
4.5e-07,101.736,2.44312
4.5e-07,101.512,2.44704
4.5e-07,101.288,2.45097
4.5e-07,101.065,2.45491
4.5e-07,100.842,2.45886
4.5e-07,100.618,2.46282
4.5e-07,100.395,2.46679
4.5e-07,100.172,2.47078
4.5e-07,99.9496,2.47477
4.5e-07,99.7269,2.47877
4.5e-07,99.5044,2.48279
4.5e-07,99.282,2.48681
4.5e-07,99.0598,2.49085
4.5e-07,98.8376,2.4949
4.5e-07,98.6157,2.49895
4.5e-07,98.3938,2.50302
4.5e-07,98.1721,2.5071
4.5e-07,97.9506,2.51119
4.5e-07,97.7292,2.51529
4.5e-07,97.5079,2.5194
4.5e-07,97.2868,2.52353
4.5e-07,97.0658,2.52766
4.5e-07,96.8449,2.53181
4.5e-07,96.6242,2.53596
4.5e-07,96.4036,2.54013
4.5e-07,96.1832,2.54431
4.5e-07,95.9629,2.5485
4.5e-07,95.7428,2.55271
4.5e-07,95.5228,2.55692
4.5e-07,95.3029,2.56114
4.5e-07,95.0832,2.56538
4.5e-07,94.8636,2.56963
4.5e-07,94.6442,2.57389
4.5e-07,94.4249,2.57816
4.5e-07,94.2058,2.58245
4.5e-07,93.9868,2.58674
4.5e-07,93.768,2.59105
4.5e-07,93.5493,2.59537
4.5e-07,93.3307,2.5997
4.5e-07,93.1123,2.60404
4.5e-07,92.894,2.6084
4.5e-07,92.6759,2.61276
4.5e-07,92.458,2.61714
4.5e-07,92.2402,2.62154
4.5e-07,92.0225,2.62594
4.5e-07,91.805,2.63036
4.5e-07,91.5876,2.63478
4.5e-07,91.3704,2.63923
4.5e-07,91.1533,2.64368
4.5e-07,90.9364,2.64815
4.5e-07,90.7197,2.65262
4.5e-07,90.503,2.65712
4.5e-07,90.2866,2.66162
4.5e-07,90.0703,2.66614
4.5e-07,89.8541,2.67067
4.5e-07,89.6381,2.67521
4.5e-07,89.4223,2.67976
4.5e-07,89.2066,2.68433
4.5e-07,88.991,2.68891
4.5e-07,88.7756,2.69351
4.5e-07,88.5604,2.69811
4.5e-07,88.3453,2.70273
4.5e-07,88.1304,2.70737
4.5e-07,87.9156,2.71202
4.5e-07,87.701,2.71668
4.5e-07,87.4865,2.72135
4.5e-07,87.2722,2.72604
4.5e-07,87.0581,2.73074
4.5e-07,86.8441,2.73545
4.5e-07,86.6303,2.74018
4.5e-07,86.4166,2.74492
4.5e-07,86.2031,2.74968
4.5e-07,85.9897,2.75445
4.5e-07,85.7765,2.75923
4.5e-07,85.5635,2.76403
4.5e-07,85.3506,2.76884
4.5e-07,85.1379,2.77367
4.5e-07,84.9253,2.7785
4.5e-07,84.713,2.78336
4.5e-07,84.5007,2.78823
4.5e-07,84.2887,2.79311
4.5e-07,84.0767,2.79801
4.5e-07,83.865,2.80292
4.5e-07,83.6534,2.80784
4.5e-07,83.442,2.81278
4.5e-07,83.2307,2.81774
4.5e-07,83.0196,2.82271
4.5e-07,82.8087,2.82769
4.5e-07,82.5979,2.83269
4.5e-07,82.3873,2.83771
4.5e-07,82.1769,2.84274
4.5e-07,81.9666,2.84778
4.5e-07,81.7565,2.85284
4.5e-07,81.5466,2.85791
4.5e-07,81.3368,2.863
4.5e-07,81.1272,2.86811
4.5e-07,80.9178,2.87323
4.5e-07,80.7085,2.87837
4.5e-07,80.4994,2.88352
4.5e-07,80.2905,2.88869
4.5e-07,80.0817,2.89387
4.5e-07,79.8732,2.89907
4.5e-07,79.6647,2.90428
4.5e-07,79.4565,2.90951
4.5e-07,79.2484,2.91476
4.5e-07,79.0405,2.92002
4.5e-07,78.8328,2.9253
4.5e-07,78.6252,2.9306
4.5e-07,78.4178,2.93591
4.5e-07,78.2106,2.94123
4.5e-07,78.0035,2.94658
4.5e-07,77.7966,2.95194
4.5e-07,77.5899,2.95732
4.5e-07,77.3834,2.96271
4.5e-07,77.1771,2.96812
4.5e-07,76.9709,2.97355
4.5e-07,76.7649,2.97899
4.5e-07,76.5591,2.98445
4.5e-07,76.3534,2.98993
4.5e-07,76.1479,2.99543
4.5e-07,75.9426,3.00094
4.5e-07,75.7375,3.00647
4.5e-07,75.5326,3.01202
4.5e-07,75.3278,3.01758
4.5e-07,75.1232,3.02317
4.5e-07,74.9188,3.02877
4.5e-07,74.7145,3.03439
4.5e-07,74.5105,3.04002
4.5e-07,74.3066,3.04568
4.5e-07,74.1029,3.05135
4.5e-07,73.8994,3.05704
4.5e-07,73.6961,3.06275
4.5e-07,73.4929,3.06847
4.5e-07,73.29,3.07422
4.5e-07,73.0872,3.07998
4.5e-07,72.8846,3.08576
4.5e-07,72.6821,3.09156
4.5e-07,72.4799,3.09738
4.5e-07,72.2778,3.10322
4.5e-07,72.076,3.10908
4.5e-07,71.8743,3.11495
4.5e-07,71.6728,3.12085
4.5e-07,71.4715,3.12676
4.5e-07,71.2703,3.1327
4.5e-07,71.0694,3.13865
4.5e-07,70.8686,3.14462
4.5e-07,70.668,3.15061
4.5e-07,70.4676,3.15663
4.5e-07,70.2674,3.16266
4.5e-07,70.0674,3.16871
4.5e-07,69.8676,3.17478
4.5e-07,69.668,3.18087
4.5e-07,69.4685,3.18698
4.5e-07,69.2693,3.19312
4.5e-07,69.0702,3.19927
4.5e-07,68.8713,3.20544
4.5e-07,68.6726,3.21163
4.5e-07,68.4741,3.21785
4.5e-07,68.2758,3.22408
4.5e-07,68.0777,3.23034
4.5e-07,67.8798,3.23662
4.5e-07,67.682,3.24291
4.5e-07,67.4845,3.24923
4.5e-07,67.2871,3.25557
4.5e-07,67.09,3.26194
4.5e-07,66.893,3.26832
4.5e-07,66.6963,3.27472
4.5e-07,66.4997,3.28115
4.5e-07,66.3033,3.2876
4.5e-07,66.1071,3.29407
4.5e-07,65.9111,3.30057
4.5e-07,65.7154,3.30708
4.5e-07,65.5198,3.31362
4.5e-07,65.3244,3.32018
4.5e-07,65.1292,3.32676
4.5e-07,64.9342,3.33337
4.5e-07,64.7394,3.34
4.5e-07,64.5448,3.34665
4.5e-07,64.3504,3.35332
4.5e-07,64.1561,3.36002
4.5e-07,63.9621,3.36674
4.5e-07,63.7683,3.37349
