L,Id/W,gm/Id
4.5e-07,27.5428,2.91937
4.5e-07,27.4704,2.92396
4.5e-07,27.3981,2.92857
4.5e-07,27.3259,2.93318
4.5e-07,27.2538,2.93782
4.5e-07,27.1817,2.94246
4.5e-07,27.1097,2.94711
4.5e-07,27.0378,2.95178
4.5e-07,26.966,2.95646
4.5e-07,26.8943,2.96116
4.5e-07,26.8226,2.96586
4.5e-07,26.751,2.97058
4.5e-07,26.6795,2.97532
4.5e-07,26.608,2.98006
4.5e-07,26.5367,2.98482
4.5e-07,26.4654,2.98959
4.5e-07,26.3942,2.99438
4.5e-07,26.3231,2.99918
4.5e-07,26.252,3.00399
4.5e-07,26.181,3.00881
4.5e-07,26.1101,3.01365
4.5e-07,26.0393,3.0185
4.5e-07,25.9686,3.02337
4.5e-07,25.8979,3.02825
4.5e-07,25.8274,3.03314
4.5e-07,25.7569,3.03804
4.5e-07,25.6864,3.04296
4.5e-07,25.6161,3.0479
4.5e-07,25.5458,3.05284
4.5e-07,25.4756,3.05781
4.5e-07,25.4055,3.06278
4.5e-07,25.3355,3.06777
4.5e-07,25.2656,3.07277
4.5e-07,25.1957,3.07779
4.5e-07,25.1259,3.08282
4.5e-07,25.0562,3.08787
4.5e-07,24.9866,3.09293
4.5e-07,24.917,3.098
4.5e-07,24.8476,3.10309
4.5e-07,24.7782,3.1082
4.5e-07,24.7089,3.11332
4.5e-07,24.6396,3.11845
4.5e-07,24.5705,3.1236
4.5e-07,24.5014,3.12876
4.5e-07,24.4324,3.13394
4.5e-07,24.3635,3.13913
4.5e-07,24.2947,3.14434
4.5e-07,24.226,3.14956
4.5e-07,24.1573,3.1548
4.5e-07,24.0887,3.16005
4.5e-07,24.0202,3.16532
4.5e-07,23.9518,3.1706
4.5e-07,23.8834,3.1759
4.5e-07,23.8152,3.18121
4.5e-07,23.747,3.18654
4.5e-07,23.6789,3.19189
4.5e-07,23.6109,3.19725
4.5e-07,23.543,3.20263
4.5e-07,23.4751,3.20802
4.5e-07,23.4073,3.21343
4.5e-07,23.3396,3.21885
4.5e-07,23.272,3.22429
4.5e-07,23.2045,3.22975
4.5e-07,23.1371,3.23522
4.5e-07,23.0697,3.24071
4.5e-07,23.0024,3.24622
4.5e-07,22.9352,3.25174
4.5e-07,22.8681,3.25728
4.5e-07,22.8011,3.26284
4.5e-07,22.7341,3.26841
4.5e-07,22.6673,3.274
4.5e-07,22.6005,3.2796
4.5e-07,22.5338,3.28522
4.5e-07,22.4672,3.29086
4.5e-07,22.4006,3.29652
4.5e-07,22.3342,3.30219
4.5e-07,22.2678,3.30788
4.5e-07,22.2015,3.31359
4.5e-07,22.1353,3.31931
4.5e-07,22.0692,3.32506
4.5e-07,22.0032,3.33082
4.5e-07,21.9372,3.33659
4.5e-07,21.8714,3.34239
4.5e-07,21.8056,3.3482
4.5e-07,21.7399,3.35403
4.5e-07,21.6743,3.35988
4.5e-07,21.6087,3.36575
4.5e-07,21.5433,3.37163
4.5e-07,21.4779,3.37754
4.5e-07,21.4126,3.38346
4.5e-07,21.3474,3.3894
4.5e-07,21.2823,3.39536
4.5e-07,21.2173,3.40133
4.5e-07,21.1524,3.40733
4.5e-07,21.0875,3.41334
4.5e-07,21.0227,3.41938
4.5e-07,20.9581,3.42543
4.5e-07,20.8935,3.4315
4.5e-07,20.8289,3.43759
4.5e-07,20.7645,3.4437
4.5e-07,20.7002,3.44982
4.5e-07,20.6359,3.45597
